"filename", "language", "Rust", "TypeScript JSX", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 40, 0, 0, 7, 47
"e:\DEV\Rust\file-sharing-app\src\RustCommands\DownloadsManager.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"Total", "-", 40, 1, 0, 7, 48
