"filename", "language", "Rust", "TypeScript JSX", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 8, 0, -22, -3, -17
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 19, 0, -1, 18
"Total", "-", 8, 19, -22, -4, 1
