"filename", "language", "Markdown", "TOML", "JSON with Comments", "JSON", "CSS", "Rust", "TypeScript", "TypeScript JSX", "XML", "Protocol Buffers", "HTML", "PowerShell", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 7, 44
"e:\DEV\Rust\file-sharing-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 53, 448
"e:\DEV\Rust\file-sharing-app\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 34, 22, 172
"e:\DEV\Rust\file-sharing-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\DEV\Rust\file-sharing-app\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\DEV\Rust\file-sharing-app\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"e:\DEV\Rust\file-sharing-app\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 0, 42, 26, 30461, 181, 3275, 14, 1515, 1, 115, 20, 2, 86, 993, 36731
