"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 43, 0, 9, 52
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 5, 0, 2, 7
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 54, 0, 16, 70
"Total", "-", 102, 0, 27, 129
