"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 97, 0, 22, 119
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 4, 0, 1, 5
"Total", "-", 101, 0, 23, 124
