"filename", "language", "TypeScript JSX", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 0, 1, 0, 1, 2
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 0, 29, -11, 3, 21
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 18, 0, 0, 6, 24
"Total", "-", 18, 30, -11, 10, 47
