"filename", "language", "PowerShell", "JSON with Comments", "Markdown", "TypeScript", "JSON", "XML", "TypeScript JSX", "CSS", "Rust", "TOML", "HTML", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\peer_id.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 12, 56
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 42, 13, 78
"e:\DEV\Rust\file-sharing-app\src-tauri\tauri.conf.json", "JSON", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 107
"e:\DEV\Rust\file-sharing-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 13, 62
"e:\DEV\Rust\file-sharing-app\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 12, 79
"e:\DEV\Rust\file-sharing-app\src\Components\DirectoryDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 14, 126
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 6, 62
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ShareDirectoryContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 12, 31, 174
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 8, 32
"e:\DEV\Rust\file-sharing-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"e:\DEV\Rust\file-sharing-app\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 7, 43
"e:\DEV\Rust\file-sharing-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 10, 58
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 17, 159
"e:\DEV\Rust\file-sharing-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\DEV\Rust\file-sharing-app\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\DEV\Rust\file-sharing-app\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\DEV\Rust\file-sharing-app\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 2, 26, 26, 14, 30458, 1, 624, 179, 1103, 37, 20, 91, 455, 33036
