"filename", "language", "Rust", "TypeScript JSX", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 35, 0, 0, 9, 44
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 1, 0, 0, -2, -1
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 44, 0, 0, 12, 56
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 10, 0, 2, 12
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.tsx", "TypeScript JSX", 0, -9, 0, 0, -9
"e:\DEV\Rust\file-sharing-app\src\pages\Settings.tsx", "TypeScript JSX", 0, 75, 0, 10, 85
"Total", "-", 80, 76, 0, 31, 187
