"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 33, 0, 6, 39
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", -1, 0, 0, -1
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 43, 0, 7, 50
"Total", "-", 75, 0, 13, 88
