"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", -1, 0, 1, 0
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 4, -1, 0, 3
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 0, 8, 0, 8
"Total", "-", 3, 7, 1, 11
