"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client.rs", "Rust", -19, 0, 0, -19
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client\codec.rs", "Rust", -2, 0, -1, -3
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 7, 0, 0, 7
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 45, 0, -3, 42
"e:\DEV\Rust\file-sharing-app\src-tauri\src\listen.rs", "Rust", 5, 0, 1, 6
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", -1, 0, 0, -1
"e:\DEV\Rust\file-sharing-app\src-tauri\src\server.rs", "Rust", -7, -1, 0, -8
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 1, 0, 1, 2
"Total", "-", 29, -1, -2, 26
