"filename", "language", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 16, 29, 11, 56
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec\protobuf_map.rs", "Rust", 247, -1, 55, 301
"Total", "-", 263, 28, 66, 357
